variable	name	category	year	question	type	size	field	start 	 end
CNT	Country	ID	0	Country	Char	3 	1	1	3
SUBNATIO	Sub-Nation	ID	0	Sub-Nation	Char	7 	2	4	10
STRATUM	Stratum	ID	0	Stratum	Char	7 	3	11	17
OECD	OECD Country	ID	0	OECD Country	Char	1 	4	18	18
NC	NC	ID	0	NC	Char	6 	5	19	24
SCHOOLID	School ID	ID	0	School ID	Char	7 	6	25	31
STIDSTD	Student ID	ID	0	Student ID	Char	5 	7	32	36
BOOKID	Book ID	ID	0	Book ID	Char	2 	8	37	38
PM00FQ01	MATH - P2012 Apartment Purchase Q1	MATH	2012	Apartment Purchase Q1	Char	1 	9	39	39
PM00GQ01	MATH - P2012 An Advertising Column Q1	MATH	2012	An Advertising Column Q1	Char	1 	10	40	40
PM00KQ02	MATH - P2012 Wheelchair Basketball Q2	MATH	2012	Wheelchair Basketball Q2	Char	1 	11	41	41
PM033Q01	MATH - P2000 A View with a Room Q1	MATH	2000	A View with a Room Q1	Char	1 	12	42	42
PM034Q01T	MATH - P2000 Bricks Q1	MATH	2000	Bricks Q1	Char	1 	13	43	43
PM155Q01	MATH - P2000 Pop Pyramids Q1	MATH	2000	Pop Pyramids Q1	Char	1 	14	44	44
PM155Q02D	MATH - P2000 Pop Pyramids Q2	MATH	2000	Pop Pyramids Q2	Char	1 	15	45	45
PM155Q03D	MATH - P2000 Pop Pyramids Q3	MATH	2000	Pop Pyramids Q3	Char	1 	16	46	46
PM155Q04T	MATH - P2000 Pop Pyramids Q4	MATH	2000	Pop Pyramids Q4	Char	1 	17	47	47
PM192Q01T	MATH - P2000 Containers Q1	MATH	2000	Containers Q1	Char	1 	18	48	48
PM273Q01T	MATH - P2000 Pipelines Q1	MATH	2000	Pipelines Q1	Char	1 	19	49	49
PM305Q01	MATH - P2000 Map Q1	MATH	2000	Map Q1	Char	1 	20	50	50
PM406Q01	MATH - P2003 Running Tracks Q1	MATH	2003	Running Tracks Q1	Char	1 	21	51	51
PM406Q02	MATH - P2003 Running Tracks Q2	MATH	2003	Running Tracks Q2	Char	1 	22	52	52
PM408Q01T	MATH - P2003 Lotteries Q1	MATH	2003	Lotteries Q1	Char	1 	23	53	53
PM411Q01	MATH - P2003 Diving Q1	MATH	2003	Diving Q1	Char	1 	24	54	54
PM411Q02	MATH - P2003 Diving Q2	MATH	2003	Diving Q2	Char	1 	25	55	55
PM420Q01T	MATH - P2003 Transport Q1	MATH	2003	Transport Q1	Char	1 	26	56	56
PM423Q01	MATH - P2003 Tossing Coins Q1	MATH	2003	Tossing Coins Q1	Char	1 	27	57	57
PM442Q02	MATH - P2003 Braille Q2	MATH	2003	Braille Q2	Char	1 	28	58	58
PM446Q01	MATH - P2003 The Thermometer Cricket Q1	MATH	2003	The Thermometer Cricket Q1	Char	1 	29	59	59
PM446Q02	MATH - P2003 The Thermometer Cricket Q2	MATH	2003	The Thermometer Cricket Q2	Char	1 	30	60	60
PM447Q01	MATH - P2003 Tile Arrangement Q1	MATH	2003	Tile Arrangement Q1	Char	1 	31	61	61
PM462Q01D	MATH - P2003 The Third Side Q1	MATH	2003	The Third Side Q1	Char	1 	32	62	62
PM464Q01T	MATH - P2003 The Fence Q1	MATH	2003	The Fence Q1	Char	1 	33	63	63
PM474Q01	MATH - P2003 Running Time Q1	MATH	2003	Running Time Q1	Char	1 	34	64	64
PM496Q01T	MATH - P2003 Cash Withdrawal Q1	MATH	2003	Cash Withdrawal Q1	Char	1 	35	65	65
PM496Q02	MATH - P2003 Cash Withdrawal Q2	MATH	2003	Cash Withdrawal Q2	Char	1 	36	66	66
PM559Q01	MATH - P2003 Telephone Rates Q1	MATH	2003	Telephone Rates Q1	Char	1 	37	67	67
PM564Q01	MATH - P2003 Chair Lift Q1	MATH	2003	Chair Lift Q1	Char	1 	38	68	68
PM564Q02	MATH - P2003 Chair Lift Q2	MATH	2003	Chair Lift Q2	Char	1 	39	69	69
PM571Q01	MATH - P2003 Stop the Car Q1	MATH	2003	Stop the Car Q1	Char	1 	40	70	70
