variable	value	result	frequency	percent
PM00FQ01	0	No credit	29848	6.15
PM00FQ01	1	Full credit	44388	9.14
PM00FQ01	7	N/A	376932	77.64
PM00FQ01	9	Missing	31972	6.59
PM00FQ01	r	Not reached	2350	0.48
PM00GQ01	0	No credit	118644	24.44
PM00GQ01	1	Full credit	10364	2.13
PM00GQ01	7	N/A	336579	69.33
PM00GQ01	9	Missing	15771	3.25
PM00GQ01	r	Not reached	4132	0.85
PM00KQ02	0	No credit	105074	21.64
PM00KQ02	1	Full credit	18999	3.91
PM00KQ02	7	N/A	338774	69.78
PM00KQ02	9	Missing	14302	2.95
PM00KQ02	r	Not reached	8341	1.72
PM033Q01	1	No credit	3845	0.79
PM033Q01	2	No credit	23930	4.93
PM033Q01	3	No credit	14266	2.94
PM033Q01	4	Full credit	100894	20.78
PM033Q01	7	N/A	338856	69.8
PM033Q01	8	Invalid	246	0.05
PM033Q01	9	Missing	2192	0.45
PM033Q01	r	Not reached	1261	0.26
PM034Q01T	0	No credit	81418	16.77
PM034Q01T	1	Full credit	49467	10.19
PM034Q01T	7	N/A	338995	69.83
PM034Q01T	8	Invalid	2458	0.51
PM034Q01T	9	Missing	6510	1.34
PM034Q01T	r	Not reached	6642	1.37
PM155Q01	0	No credit	34803	7.17
PM155Q01	1	Full credit	86180	17.75
PM155Q01	7	N/A	338855	69.8
PM155Q01	9	Missing	23560	4.85
PM155Q01	r	Not reached	2092	0.43
PM155Q02D	7	N/A	338849	69.8
PM155Q02D	9	Missing	28775	5.93
PM155Q02D	A	No credit	31569	6.5
PM155Q02D	G	Partial credit	6037	1.24
PM155Q02D	H	Partial credit	10794	2.22
PM155Q02D	I	Partial credit	2798	0.58
PM155Q02D	O	Full credit	65079	13.4
PM155Q02D	r	Not reached	1589	0.33
PM155Q03D	7	N/A	338870	69.8
PM155Q03D	9	Missing	57095	11.76
PM155Q03D	A	No credit	58358	12.02
PM155Q03D	G	Partial credit	1815	0.37
PM155Q03D	H	Partial credit	12509	2.58
PM155Q03D	I	Partial credit	2041	0.42
PM155Q03D	O	Full credit	1537	0.32
PM155Q03D	P	Full credit	9088	1.87
PM155Q03D	Q	Full credit	1990	0.41
PM155Q03D	r	Not reached	2187	0.45
PM155Q04T	0	No credit	533	0.11
PM155Q04T	1	No credit	7503	1.55
PM155Q04T	2	No credit	16054	3.31
PM155Q04T	3	No credit	41603	8.57
PM155Q04T	4	Full credit	71527	14.73
PM155Q04T	7	N/A	338840	69.79
PM155Q04T	8	Invalid	31	0.01
PM155Q04T	9	Missing	7014	1.44
PM155Q04T	r	Not reached	2385	0.49
PM192Q01T	0	No credit	35635	7.34
PM192Q01T	1	No credit	48796	10.05
PM192Q01T	2	Full credit	34365	7.08
PM192Q01T	3	Full credit	15246	3.14
PM192Q01T	7	N/A	339111	69.85
PM192Q01T	8	Invalid	2829	0.58
PM192Q01T	9	Missing	7759	1.6
PM192Q01T	r	Not reached	1749	0.36
PM273Q01T	0	No credit	68398	14.09
PM273Q01T	1	Full credit	67978	14
PM273Q01T	7	N/A	336490	69.31
PM273Q01T	8	Invalid	3135	0.65
PM273Q01T	9	Missing	7543	1.55
PM273Q01T	r	Not reached	1946	0.4
PM305Q01	1	No credit	16096	3.32
PM305Q01	2	No credit	27516	5.67
PM305Q01	3	Full credit	78386	16.15
PM305Q01	4	No credit	17708	3.65
PM305Q01	7	N/A	339057	69.84
PM305Q01	8	Invalid	197	0.04
PM305Q01	9	Missing	5366	1.11
PM305Q01	r	Not reached	1164	0.24
PM406Q01	0	No credit	77960	16.06
PM406Q01	1	Full credit	31093	6.4
PM406Q01	7	N/A	339058	69.84
PM406Q01	9	Missing	35296	7.27
PM406Q01	r	Not reached	2083	0.43
PM406Q02	0	No credit	61897	12.75
PM406Q02	1	Full credit	19786	4.08
PM406Q02	7	N/A	339056	69.84
PM406Q02	9	Missing	62116	12.79
PM406Q02	r	Not reached	2635	0.54
PM408Q01T	0	No credit	2132	0.44
PM408Q01T	1	No credit	20905	4.31
PM408Q01T	2	No credit	35292	7.27
PM408Q01T	3	No credit	37399	7.7
PM408Q01T	4	Full credit	48542	10
PM408Q01T	7	N/A	336472	69.31
PM408Q01T	8	Invalid	34	0.01
PM408Q01T	9	Missing	2511	0.52
PM408Q01T	r	Not reached	2203	0.45
PM411Q01	0	No credit	70692	14.56
PM411Q01	1	Full credit	62282	12.83
PM411Q01	7	N/A	338863	69.8
PM411Q01	9	Missing	11157	2.3
PM411Q01	r	Not reached	2496	0.51
PM411Q02	1	No credit	30041	6.19
PM411Q02	2	No credit	22207	4.57
PM411Q02	3	No credit	18481	3.81
PM411Q02	4	Full credit	59442	12.24
PM411Q02	7	N/A	340786	70.19
PM411Q02	8	Invalid	2188	0.45
PM411Q02	9	Missing	9254	1.91
PM411Q02	r	Not reached	3091	0.64
PM420Q01T	0	No credit	595	0.12
PM420Q01T	1	No credit	5084	1.05
PM420Q01T	2	No credit	21721	4.47
PM420Q01T	3	No credit	52651	10.84
PM420Q01T	4	Full credit	64542	13.29
PM420Q01T	7	N/A	336482	69.31
PM420Q01T	8	Invalid	30	0.01
PM420Q01T	9	Missing	1937	0.4
PM420Q01T	r	Not reached	2448	0.5
PM423Q01	1	Full credit	108340	22.32
PM423Q01	2	No credit	11635	2.4
PM423Q01	3	No credit	18218	3.75
PM423Q01	4	No credit	3913	0.81
PM423Q01	7	N/A	339054	69.84
PM423Q01	8	Invalid	445	0.09
PM423Q01	9	Missing	2274	0.47
PM423Q01	r	Not reached	1611	0.33
PM442Q02	0	No credit	73469	15.13
PM442Q02	1	Full credit	46511	9.58
PM442Q02	7	N/A	339562	69.94
PM442Q02	9	Missing	21548	4.44
PM442Q02	r	Not reached	4400	0.91
PM446Q01	0	No credit	45774	9.43
PM446Q01	1	Full credit	86312	17.78
PM446Q01	7	N/A	336512	69.31
PM446Q01	9	Missing	14211	2.93
PM446Q01	r	Not reached	2681	0.55
PM446Q02	0	No credit	92099	18.97
PM446Q02	1	Full credit	8844	1.82
PM446Q02	7	N/A	336518	69.32
PM446Q02	9	Missing	44826	9.23
PM446Q02	r	Not reached	3203	0.66
PM447Q01	1	No credit	16511	3.4
PM447Q01	2	No credit	12951	2.67
PM447Q01	3	No credit	19887	4.1
PM447Q01	4	Full credit	90509	18.64
PM447Q01	7	N/A	336588	69.33
PM447Q01	8	Invalid	1709	0.35
PM447Q01	9	Missing	5562	1.15
PM447Q01	r	Not reached	1773	0.37
PM462Q01D	7	N/A	338878	69.8
PM462Q01D	9	Missing	36202	7.46
PM462Q01D	B	No credit	56559	11.65
PM462Q01D	C	No credit	28162	5.8
PM462Q01D	G	Partial credit	2373	0.49
PM462Q01D	H	Partial credit	7987	1.65
PM462Q01D	O	Full credit	9755	2.01
PM462Q01D	r	Not reached	5574	1.15
PM464Q01T	0	No credit	87420	18.01
PM464Q01T	1	Full credit	29245	6.02
PM464Q01T	7	N/A	336946	69.4
PM464Q01T	8	Invalid	13982	2.88
PM464Q01T	9	Missing	13138	2.71
PM464Q01T	r	Not reached	4759	0.98
PM474Q01	0	No credit	44888	9.25
PM474Q01	1	Full credit	97075	20
PM474Q01	7	N/A	338832	69.79
PM474Q01	9	Missing	3339	0.69
PM474Q01	r	Not reached	1356	0.28
PM496Q01T	0	No credit	4847	1
PM496Q01T	1	No credit	23479	4.84
PM496Q01T	2	No credit	20060	4.13
PM496Q01T	3	No credit	25877	5.33
PM496Q01T	4	Full credit	68570	14.12
PM496Q01T	7	N/A	339056	69.84
PM496Q01T	8	Invalid	59	0.01
PM496Q01T	9	Missing	2242	0.46
PM496Q01T	r	Not reached	1300	0.27
PM496Q02	0	No credit	41321	8.51
PM496Q02	1	Full credit	87396	18
PM496Q02	7	N/A	339058	69.84
PM496Q02	9	Missing	16325	3.36
PM496Q02	r	Not reached	1390	0.29
PM559Q01	1	No credit	23588	4.86
PM559Q01	2	No credit	12934	2.66
PM559Q01	3	No credit	17481	3.6
PM559Q01	4	Full credit	86232	17.76
PM559Q01	7	N/A	336546	69.32
PM559Q01	8	Invalid	1416	0.29
PM559Q01	9	Missing	3884	0.8
PM559Q01	r	Not reached	3409	0.7
PM564Q01	1	No credit	7595	1.56
PM564Q01	2	Full credit	60519	12.47
PM564Q01	3	No credit	60034	12.37
PM564Q01	4	No credit	10746	2.21
PM564Q01	7	N/A	339087	69.84
PM564Q01	8	Invalid	249	0.05
PM564Q01	9	Missing	2221	0.46
PM564Q01	r	Not reached	5039	1.04
